file,title,creator,license,license_url,source_page
lauk_nabati_sayur/sy02_sup_wortel.jpg,Sup daging2,Onyaso,BY-SA,https://creativecommons.org/licenses/by-sa/4.0/,https://commons.wikimedia.org/w/index.php?curid=87911171
lauk_nabati_sayur/sy03_capcay.jpg,Capcay Sapi Mie Awek Prabumulih,Clysmic,BY,https://creativecommons.org/licenses/by/4.0/,https://commons.wikimedia.org/w/index.php?curid=180429292
lauk_nabati_sayur/sy04_cah_buncis.jpg,20100710 tumi nagoya 03,たー坊,BY-SA,https://creativecommons.org/licenses/by-sa/3.0/,https://commons.wikimedia.org/w/index.php?curid=10967725
lauk_nabati_sayur/sy05_tumis_kacang.jpg,Kacang bendi tumis,Anarohana70,BY-SA,https://creativecommons.org/licenses/by-sa/4.0/,https://commons.wikimedia.org/w/index.php?curid=102950133
buah_susu/buah_apel.jpg,Buah Apel Merah,Edo Marendra,BY-SA,https://creativecommons.org/licenses/by-sa/4.0/,https://commons.wikimedia.org/w/index.php?curid=135843192
buah_susu/buah_pisang.jpg,"Pisang Ambon yang dijual di Taman Sari - Yogyakarta, YO",Firzafp,BY-SA,https://creativecommons.org/licenses/by-sa/4.0/,https://commons.wikimedia.org/w/index.php?curid=128167251
sekolah_sppg/sekolah_3.jpg,File:Dudi sabil iskandar.jpg,Lorenzo oktivano,BY-SA,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/w/index.php?curid=40884820
sekolah_sppg/sekolah_4.jpg,P-IMG-20230927-WA0002,Mutiara Maritza,BY-SA,https://creativecommons.org/licenses/by-sa/4.0/,https://commons.wikimedia.org/w/index.php?curid=138534645
sekolah_sppg/sekolah_5.jpg,Sekolah Dasar Negeri DiKadilangu Demak,DARMAS BS 9,CC0,https://creativecommons.org/publicdomain/zero/1.0/deed.en/,https://commons.wikimedia.org/w/index.php?curid=132530523
sekolah_sppg/suasana_sppg_1.jpg,DSCF0807 A busy market kitchen worker carefully preparing fresh vegetables at a stainless-steel counter lined with squeeze bottles and ingredients,PattayaPatrol,BY-SA,https://creativecommons.org/licenses/by-sa/4.0/,https://commons.wikimedia.org/w/index.php?curid=196040534
polri_aduan/polri_1.jpg,Sejarah Polisi Indonesia,AP Archives,BY-SA,https://creativecommons.org/licenses/by-sa/4.0/,https://commons.wikimedia.org/w/index.php?curid=93037158
sekolah_sppg/suasana_sppg_2.jpg,DSCF0807 A busy market kitchen worker carefully preparing fresh vegetables at a stainless-steel counter lined with squeeze bottles and ingredients,PattayaPatrol,BY-SA,https://creativecommons.org/licenses/by-sa/4.0/,https://commons.wikimedia.org/w/index.php?curid=196040534
polri_aduan/polri_2.jpg,Sejarah Polisi Indonesia,AP Archives,BY-SA,https://creativecommons.org/licenses/by-sa/4.0/,https://commons.wikimedia.org/w/index.php?curid=93037158
sekolah_sppg/suasana_sppg_3.jpg,"Cooks in Italian Village Restaurant kitchen, 1959",Seattle Municipal Archives,BY,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/photos/24256351@N04/2692476103
sekolah_sppg/suasana_sppg_4.jpg,"2009 IMCOM-E / USAREUR/7A Culinary Arts Competition Winners - US Army Africa - Vicenza, Italy - 091130",US Army Africa,BY,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/photos/36281822@N08/4149857219
paket/paket_nasi_ayam_woku.jpg,Ayam Woku Manado-3,Oceanmuse,BY,https://creativecommons.org/licenses/by/4.0/,https://commons.wikimedia.org/w/index.php?curid=197072537
lauk_hewani/lh05_ayam_woku.jpg,Ayam Woku Manado-1,Oceanmuse,BY,https://creativecommons.org/licenses/by/4.0/,https://commons.wikimedia.org/w/index.php?curid=197072539
buah_susu/buah_jeruk.jpg,INI JERUK,Rahmawati Meilani,BY-SA,https://creativecommons.org/licenses/by-sa/4.0/,https://commons.wikimedia.org/w/index.php?curid=94401365
sekolah_sppg/sppg_1.jpg,Harrah's Atlantic City Rotating Rotisserie,ghahnroyal,BY,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/photos/11615637@N05/2505606017
sekolah_sppg/sppg_2.jpg,Rotating Broiler-St Louis,ghahnroyal,BY,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/photos/11615637@N05/2529370956
sekolah_sppg/sppg_3.jpg,RMW Rotating Fish Grill,ghahnroyal,BY,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/photos/11615637@N05/2529373870
